DateTime,PT Tower,ET Tower,PT-JPL ET,DisALEXI ET
2022-01-07,0.26583458651672714,0.2824099486805517,0.135,0.279
2022-01-08,0.19044786225066385,,0.319,0.671
2022-01-09,0.2538294138342664,,0.21,0.448
2022-01-10,0.35844042492901773,0.6436004535379417,0.21,0.456
2022-01-11,0.4633353013770718,0.8484937007769272,0.33,0.728
2022-01-12,-0.0318589860510046,0.2300211642222534,0.324,0.729
2022-01-13,0.4972239811530614,,0.221,0.505
2022-01-14,0.5190394789438478,,0.169,0.393
2022-01-15,0.017555194938505995,0.7446118438017278,0.119,0.281
2022-01-16,0.31077258769200483,0.5965095519083019,0.166,0.402
2022-01-17,0.15474029432479644,0.5868292814053383,0.122,0.289
2022-01-18,0.6669846274123826,0.7800305219635397,0.337,0.788
2022-01-19,0.06582806172708865,0.4954384829254656,0.15,0.346
2022-01-20,0.2461858583843715,0.4993516699545485,0.223,0.508
2022-01-21,0.30965210720297054,0.4097432407765216,0.151,0.339
2022-01-22,0.4610150817959847,0.5641129030190166,0.383,0.847
2022-01-23,0.553322371868801,0.4566574467800015,0.285,0.622
2022-01-24,0.3364840184346119,0.8053254095850205,0.237,0.509
2022-01-25,0.22966283829685974,0.4897716730179769,0.213,0.453
2022-01-26,0.30280648893247925,0.3166510345753582,0.216,0.453
2022-01-27,0.5260758962161773,0.4291289991589036,0.384,0.794
2022-01-28,-0.22369237481491416,0.3027610360348237,0.056,0.113
2022-01-29,-0.04052539249259319,0.8018810984145678,0.197,0.398
2022-01-30,0.34734251192081617,0.6224867822039727,0.228,0.455
2022-01-31,0.6144817114998381,0.484773728638956,0.318,0.626
2022-02-01,0.03491571426507104,,0.486,0.944
2022-02-02,-0.27668540447142964,,0.098,0.189
2022-02-03,-0.35947538534619183,3.3966420918919544,0.066,0.126
2022-02-04,-0.4336603917859451,0.2397843664317598,0.164,0.307
2022-02-05,-0.47852213462171883,0.1991369352906249,0.136,0.253
2022-02-06,-0.6760751018681549,0.099664804222647,0.241,0.442
2022-02-07,-0.5215168284718998,0.1603659107379793,0.14,0.253
2022-02-08,-0.6229427959895008,0.1216305417055877,0.388,0.696
2022-02-09,-0.6747528357287079,0.204034613088144,0.459,0.814
2022-02-10,-0.46190781915183904,0.6477681704608174,0.434,0.76
2022-02-11,-0.10502792270932869,,0.287,0.498
2022-02-12,-0.20523114520099883,1.787585812019525,0.254,0.435
2022-02-13,-0.5110337855546815,0.3466240645350935,0.187,0.318
2022-02-14,-0.5896590768428597,0.7518773619957144,0.265,0.445
2022-02-15,-0.4067308864637172,0.687426052482033,0.568,0.945
2022-02-16,0.7994650302859642,0.2560587859541028,0.966,1.591
2022-02-17,0.019647992091046923,,0.078,0.127
2022-02-18,-0.44639817848610525,,0.513,0.829
2022-02-19,-0.6569613678621264,0.7998433717761789,0.393,0.629
2022-02-20,-0.6897913523780199,0.6447151867097586,0.961,1.523
2022-02-21,1.3778719038763518,0.2219746224474738,1.058,1.661
2022-02-22,0.2934295328502613,,0.817,1.27
2022-02-23,0.26125165372270664,1.4497785229205429,0.54,0.832
2022-02-24,0.1551915550887277,,0.33,0.503
2022-02-25,-0.16411021634057874,,0.248,0.375
2022-02-26,0.3547076233216674,0.8003272705042058,0.428,0.641
2022-02-27,1.0378542189381241,1.4767484428346542,0.691,1.027
2022-02-28,1.2602977293104274,1.7682382809612835,0.997,1.468
2022-03-01,1.4304471803920487,1.9616377353177457,1.247,1.821
2022-03-02,0.9661780320422816,1.5395239374529066,1.072,1.552
2022-03-03,0.8587929553616084,2.6397668173389786,0.565,0.81
2022-03-04,0.8128676574809619,2.0527962588767017,0.997,1.419
2022-03-05,1.0920902422916758,3.1703358718281063,1.623,2.29
